tender_no,tender_id,outcome,is_won,label_source,tender_name,nit_number,organization,department,client,publish_date,bid_submission_end_date,bid_validity_days,tender_value,estimated_cost,emd_amount,emd_required,avg_annual_turnover_value,pbg_percentage,pbg_duration,pbg_required,sd_percentage,sd_required,max_ld_percentage,ld_required,technical_eligibility_age,delivery_time_supply,maf_required,reverse_auction_applicable,mse_purchase_preference,mii_purchase_preference,extraction_timestamp,compliance_status,reference_date,org_clean,clean_tender_value,tender_value_imputed,tender_value_imputed_num,log_tender_value,bid_validity_days_bounded,emd_amount_bounded,log_emd_amount,emd_ratio,turnover_req_applicable,turnover_ratio,pbg_duration_months,max_ld_cap_percent,delivery_time_supply_days,maf_required_flag,reverse_auction_flag,mse_preference_flag,msme_match,is_incumbent_psu,authority_win_rate,incumbent_buyer_status
GEM/2024/B/5264968,240,Lost,0,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:27:16.990351,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/5305488,241,Lost,0,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:27:13.330628,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/5324537,242,Lost,0,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:27:19.334069,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/5328157,243,Lost,0,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:27:18.672463,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/5336206,244,Lost,0,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:27:14.994908,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/5584427,30,Won,1,outcome_labels_review_xlsx,,,,,,2024-01-01 00:00:00,2024-01-01 00:00:00,,1.0,,,No,,0.0,,No,,No,,No,,,No,,,,2026-08-31 08:22:27.774953,QUALIFIED,2024-01-01 00:00:00.000000,UNKNOWN,4226894.0,True,1,15.256978238928124,120.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0
GEM/2024/B/4523113,22,Won,1,outcome_labels_review_xlsx,,,DIRECTORATE OF PURCHASE A,Department Of Atomic Energy,,2024-02-15 14:00:00,2024-02-15 14:00:00,100.0,,,73731.0,Yes,,0.0,21.0,No,,No,,No,,,No,Yes,,,2026-08-31 08:22:25.884465,QUALIFIED,2024-02-15 14:00:00.000000,DIRECTORATE OF PURCHASE A,4411760.0,True,1,15.299784487444017,100.0,73731.0,11.208192176616064,0.0003529724347251611,0,0.0,21.0,0.0,0.0,0,1,0,0,0,0.0,0
GEM/2024/B/5176335,23,Won,1,outcome_labels_review_xlsx,,,POWERGRID,Power Grid Corporation Of India Limited,,2024-08-16 15:00:00,2024-08-16 15:00:00,180.0,,,49500.0,Yes,37.13,0.0,42.0,No,,No,,No,,,Yes,,,,2026-08-31 08:22:32.105114,QUALIFIED,2024-08-16 15:00:00.000000,POWERGRID,4411760.0,True,1,15.299784487444017,180.0,49500.0,10.809748150372926,0.00023697136236990512,1,1.7775245827867832e-07,42.0,0.0,0.0,1,0,0,0,0,0.0,0
GEM/2024/B/5217904,238,Lost,0,outcome_labels_review_xlsx,,,BPCL,Bharat Petroleum Corporation Ltd,,2024-09-04 11:00:00,2024-09-04 11:00:00,30.0,,,,No,,0.0,12.0,No,,No,,No,,,No,,,,2026-08-31 08:27:12.792659,QUALIFIED,2024-09-04 11:00:00.000000,BPCL,4411760.0,True,1,15.299784487444017,30.0,0.0,0.0,0.0,0,0.0,12.0,0.0,0.0,0,0,0,0,1,0.0,0
GEM/2024/B/5205901,237,Lost,0,outcome_labels_review_xlsx,,,POWERGRID,Power Grid Corporation Of India Limited,,2024-09-04 15:00:00,2024-09-04 15:00:00,180.0,,,248000.0,Yes,,0.0,21.0,No,,No,,No,,,Yes,,,,2026-08-31 08:27:15.190262,QUALIFIED,2024-09-04 15:00:00.000000,POWERGRID,4411760.0,True,1,15.299784487444017,180.0,248000.0,12.421188057397055,0.001187250461974474,0,0.0,21.0,0.0,0.0,1,0,0,0,0,1.0,1
