tender_no,source_files,folder_path
(No.1 Elect /25-26)dt.13.10.2025,"[""14648_11zon_(1).pdf_1762842812_67957666.pdf""]",tender-documents
- CE/EHV PC O&M Zone/Pune/T-67/2024-25,"[""mahatransco5.pdf_1732946517_2036529599.pdf""]",tender-documents
-KTPS/PUR/2024-25/EM&T-660/RFX T- 3000051999,"[""1727508222.pdf""]",tender-documents
. 021/383/2482000111/02/00/500010525,"[""1727932732.pdf""]",tender-documents
. TGPMM21-30/2025,"[""TCTL.pdf_1764235619_525652451.pdf""]",tender-documents
0000091,"[""MSETCL.pdf_1737530415_2075204052.pdf""]",tender-documents
01/2026-27,"[""1779357063078_1_gen_terms___condition_hvac.pdf"", ""1779357063215_1_gen_terms___conditon.pdf"", ""1779357063285_4_hvac_gen_condittion.pdf"", ""1779357063307_5_boq_hvac.pdf"", ""1779357063321_6_boq_tfas.pdf""]",tender-documents
01261979,"[""1770879499910_194678386__1_.pdf""]",tender-documents
01261979B,"[""1785393426488_viewNitPdf_5491547__1_.pdf""]",tender-documents
01265084,"[""1778050758384_viewNitPdf_5380083__1_.pdf""]",tender-documents
01EE(E)I/AIIMS/2025-26,"[""169679972_(1).pdf_1746857401_1258710514.pdf""]",tender-documents
02-03/ED (S&P)/SEP-IV/NIT/2805,"[""172793494.pdf_1751363700_65317331.pdf""]",tender-documents
02/SEE/NGP/CCW/NIT/2026-27,"[""1782470911420_Instructions_to_bidders.pdf"", ""1782470911523_PriceBid02202627.xlsx"", ""1782470911537_SEENIT02202627.pdf""]",tender-documents
02251123,"[""viewNitPdf_4951537.pdf_1746770450_1630680428.pdf""]",tender-documents
02252518B,"[""viewNitPdf_5271076.pdf_1769840944_844377428.pdf"", ""1771227970258_correction_slip_no_.pdf"", ""1771227970487_ITT_Rev_1_21_April_2024.pdf""]",tender-documents
02255167,"[""viewNitPdf_5243956_(1).pdf_1767858909_373711495.pdf""]",tender-documents
02255167A,"[""1780473771222_5114518.pdf"", ""1780473771347_5590677.pdf"", ""1780473771433_5590827.pdf"", ""1780473771592_5114517.pdf"", ""1780473771681_100891999.pdf""]",tender-documents
02255168,"[""1779275019996_viewNitPdf_5399661__1_.pdf""]",tender-documents
0226080A,"[""1778322120089_viewNitPdf_5359926__1_.pdf""]",tender-documents
02261776,"[""1776406845192_viewNitPdf_5357690__2_.pdf""]",tender-documents
02265013,"[""viewNitPdf_5269445.pdf_1769843211_1439200837.pdf"", ""Railway_UPS.pdf_1769843211_2106110585.pdf"", ""5114518.pdf_1769843211_1557142998.pdf""]",tender-documents
02265046,"[""1773901691383_viewNitPdf_5326144__1_.pdf""]",tender-documents
02265056,"[""1775545610709_viewNitPdf_5345141__1_.pdf""]",tender-documents
02265266,"[""1780642969456_viewNitPdf_5414734__1_.pdf""]",tender-documents
02RT-T-CharBatt-MB-25-26,"[""1779262609033_100426829.pdf""]",tender-documents
03-01/Add(CE Gen)/GangrelHEP/TS-11/2024-25/2160,"[""169622956.pdf_1746534156_2110173058.pdf""]",tender-documents
03-02/TENDER/E-BIDDING/TR-233/1976,"[""CSPTCL.pdf_1731997692_777700142.pdf""]",tender-documents
03-03/SE-II/TN-309/HP-384/25-26,"[""93246179_(1).pdf_1759920377_1004550446.pdf""]",tender-documents
03-03/TN-398/25-26/5877,"[""NIT_TD8713_(1).pdf_1768474503_1495630716.pdf""]",tender-documents
03/EE/2024-25,"[""gup.pdf_1735556005_80114438.pdf""]",tender-documents
03/NIT/SEE/CCW/NGP/2026-27,"[""1783664970248_Instructions_to_bidders.pdf"", ""1783664970370_PriceBid03202627.xlsx"", ""1783664970372_SEENIT03202627.pdf""]",tender-documents
0326D0043A,"[""1773390751597_197611172__2_.pdf""]",tender-documents
04251015,,tender-documents
04251096,"[""RCF.pdf_1756706268_733934132.pdf""]",tender-documents
04261025,"[""1778738837744_RCF.pdf""]",tender-documents
04261149,"[""1775545336567_viewNitPdf_5345433__1_.pdf""]",tender-documents
04261294,"[""1770968782044_viewNitPdf_5287371.pdf""]",tender-documents
04261885,"[""1783067547279_viewNitPdf_5454332__1_.pdf""]",tender-documents
0526085,"[""1779346572245_viewNitPdf_5392887__1_.pdf""]",tender-documents
0526086,"[""1779346705336_viewNitPdf_5392890__1_.pdf""]",tender-documents
05261029,"[""1781598132074_viewNitPdf_5430245__1_.pdf""]",tender-documents
05261203A,"[""1780640979763_viewNitPdf_5414017__1_.pdf""]",tender-documents
05261203C,"[""1783157637832_viewNitPdf_5457211__1_.pdf""]",tender-documents
05261212,"[""1783578861068_viewNitPdf_5463654__1_.pdf""]",tender-documents
05R2of2025-26,"[""doc1594913284384109049.pdf_1769671627_1923449227.pdf""]",tender-documents
06245040C,"[""viewNitPdf_4945730.pdf_1746600773_2036370732.pdf""]",tender-documents
06255013,"[""doc9626473222242438701.pdf_1753509434_1826885844.pdf""]",tender-documents
06261201,"[""1775804264555_viewNitPdf_5349779__1_.pdf""]",tender-documents
06261202,"[""1780641576265_viewNitPdf_5409735__1_.pdf""]",tender-documents
06261731,"[""1780642115216_viewNitPdf_5409717__1_.pdf""]",tender-documents
06265046,"[""1778524951331_1778323033849_viewNitPdf_5384510__1_.pdf"", ""1778524951398_5736555.pdf"", ""1778524951677_5747974.pdf""]",tender-documents
07-01/EITC/Tr-403/456,"[""172931152_(1).pdf_1749809918_694894644.pdf""]",tender-documents
07261326A,"[""1781767984065_viewNitPdf_5436677__1_.pdf""]",tender-documents
08245077C,"[""1726744167.pdf""]",tender-documents
08255072,"[""1784016870975_5789473.pdf"", ""1784016871077_5823134.pdf"", ""1784016871123_101828309.pdf""]",tender-documents
08260023A,"[""1781683602665_viewNitPdf_5426601__1_.pdf""]",tender-documents
08261507,"[""1779346477544_viewNitPdf_5401546__1___1_.pdf""]",tender-documents
09-12/AU/EO/TPA/2025-26,"[""94910536.pdf_1763984155_22441363.pdf""]",tender-documents
09/NIT/SEE/CCE/NGP/2025-26,"[""1775127363572_Instructions_to_bidders.pdf""]",tender-documents
1000013712,"[""ppcl.pdf_1758873315_1001623810.pdf""]",tender-documents
1000439344,"[""Annexure_I_ITB.pdf_1753686627_793171258.pdf"", ""Annexure_II_BQC.pdf_1753686627_78373885.pdf"", ""Annexure_III_SPC.pdf_1753686627_639287332.pdf"", ""Annexure_IV_Tech.pdf_1753686627_664651736.pdf"", ""Annexure_V_GPC_Updated_080125.pdf_1753686627_901756608.pdf"", ""Annexure_VI_Integrity_Pact.pdf_1753686627_1484399064.pdf"", ""Annexure_VII_Policy.pdf_1753686628_1392171479.pdf"", ""Annexure_VIII_Format_of_Forms.pdf_1753686628_1480904064.pdf"", ""GPC_Updated_171224.pdf_1753686628_1123538208.pdf"", ""HSSE_POLICY.pdf_1753686628_366015049.pdf"", ""IP_PAC.pdf_1753686628_1636200412.pdf"", ""NIT_PAC.pdf_1753686628_435665109.pdf"", ""BUDGETDOC_21690.xlsx_1753686628_643694110.xlsx""]",tender-documents
1000447185,"[""NIT_UPS.pdf_1765442444_674823176.pdf"", ""Annexure_VII_Policy.pdf_1765442444_813175008.pdf"", ""Annexure_V_HSSE_POLICY.pdf_1765442444_885336120.pdf"", ""Annexure_VI_Format_of_Forms.pdf_1765442444_429338444.pdf"", ""Annexure_III_SOW_(2).pdf_1765442444_664373230.pdf"", ""Annexure_III_SOW_(1).pdf_1765442444_54671883.pdf""]",tender-documents
1000448308,"[""23662_(1).pdf_1766734373_1037845560.pdf""]",tender-documents
1000453692,"[""1773819176392_24823__1_.pdf""]",tender-documents
1025058,"[""viewNitPdf_5141679_(1).pdf_1761820954_1470855808.pdf""]",tender-documents
1025059,"[""viewNitPdf_5148866_(1).pdf_1761821082_920545857.pdf""]",tender-documents
11/EE(TEST)/DKP/2024-25,"[""UJVNL.pdf_1735556449_1236051184.pdf""]",tender-documents
11250637A,"[""1779264032718_viewNitPdf_5397998__1_.pdf""]",tender-documents
11260629,"[""1782816558321_viewNitPdf_5449571__1_.pdf""]",tender-documents
120 2025 2026 dated 13 03 2026 / 01,"[""1774338068498_NIT120.pdf""]",tender-documents
129532,"[""getco2.pdf_1732531628_1288460764.pdf""]",tender-documents
129732,"[""GSECL.pdf_1737010379_1903703148.pdf""]",tender-documents
13/PR/BSPTCL/2026,"[""1775716564603_5396_231.pdf"", ""1776257173049_BSPTCL_Tender.pdf"", ""1776257178252_BSPTCL_NIT_TENDER_DOC_battery_bank_VRLA-26_03_26.pdf"", ""1776257183274_08596_rfqCreation.xls""]",tender-documents
1320/2025,"[""CSPGCL.pdf_1737529966_1101705701.pdf""]",tender-documents
134665,"[""GETCL.html_1734102183_1659862685.html""]",tender-documents
138604,"[""NIT138_(1).pdf_1767605999_2064870355.pdf""]",tender-documents
139356,"[""GSPL.pdf_1736699214_718330906.pdf""]",tender-documents
140266,"[""gwrdl.html_1735204504_682992006.html""]",tender-documents
14251164,"[""1773481757848_IREPS__1_.pdf""]",tender-documents
14251164A,"[""1782891376142_viewNitPdf_5452340__1_.pdf""]",tender-documents
14254941A,"[""1773480643558_97607326__2___1_.pdf""]",tender-documents
14255093,"[""R5.pdf_1745043813_1950145481.pdf""]",tender-documents
14264939,"[""1780572487689_viewNitPdf_5417936__1_.pdf""]",tender-documents
147479,"[""GSECL.pdf_1737372194_390620333.pdf""]",tender-documents
15-2 - For 2024-25,"[""DWR.pdf_1735883764_1323067739.pdf""]",tender-documents
15-3- - For 2024-25,"[""DWR.pdf_1735883999_903382136.pdf""]",tender-documents
15250026,"[""1773388076223_viewNitPdf_5318451__1_.pdf""]",tender-documents
15250545,"[""1780985846799_viewNitPdf_5422800__1_.pdf"", ""1781173314112_Conditions.pdf"", ""1781173314271_SR_Tender_Docs.pdf"", ""1781173314382_Annexure_B.pdf""]",tender-documents
16241206,"[""1725353433.pdf""]",tender-documents
17-ElectDYCEECT167,"[""1781171532574_TendrebookletWR-BPQ2026-27-02.pdf"", ""1781171532938_viewNitPdf_5389202.pdf""]",tender-documents
17/2025-26/EE (E)/PHEWD,"[""NIT17PHEWD.pdf_1749732133_987421149.pdf""]",tender-documents
19256761,"[""viewNitPdf_5045838.pdf_1752825272_1186993030.pdf""]",tender-documents
19265155,"[""viewNitPdf_5268175.pdf_1769671108_162721828.pdf""]",tender-documents
19265228,"[""viewNitPdf_5259793_(3).pdf_1769065052_1229975233.pdf""]",tender-documents
19265301,"[""1772879565083_viewNitPdf_5300529__1___2_.pdf""]",tender-documents
19265556,"[""1773654157475_viewNitPdf_5313585__1_.pdf""]",tender-documents
19266222,"[""1780646901618_viewNitPdf_5419892__1_.pdf""]",tender-documents
19266222A,"[""1785571339166_viewNitPdf_5493291__1_.pdf""]",tender-documents
19266230,"[""1780646311486_viewNitPdf_5420440__1_.pdf""]",tender-documents
19266251,"[""1780987750507_viewNitPdf_5424934__2_.pdf""]",tender-documents
2024-25/Estate/2B/LNM-769,"[""LNMIIT.docx_1735536098_1816782928.docx""]",tender-documents
2024_AEGCL_40002_1,"[""AEGCL2.html_1731995531_629122383.html""]",tender-documents
2024_ANERT_687282_1,"[""1730701542.htm""]",tender-documents
2024_BEST_1125660_1,"[""BEST.html_1735217200_546742255.html""]",tender-documents
2024_BHEL_38669_3,"[""BHEL_E.html_1732362040_447608385.html""]",tender-documents
2024_BHEL_40014_1,"[""1727934184.pdf""]",tender-documents
2024_BHEL_41198_1,"[""BHEL_RAMMAM.html_1731995239_906511356.html""]",tender-documents
2024_BHEL_41284_1,"[""1730702015.html""]",tender-documents
2024_BHEL_41284_2,"[""BHEL.html_1734147177_1598806870.html""]",tender-documents
2024_BHEL_42900_1,"[""BHEL.html_1734441073_189518454.html""]",tender-documents
2024_BHEL_43146_1,"[""BHEL.html_1735891394_39941268.html""]",tender-documents
2024_BRBCL_93055_1,"[""BRBCL.html_1735287926_1266353828.html""]",tender-documents
2024_BSF_830752_1,"[""1729663713.html""]",tender-documents
2024_BSF_830754_1,"[""1729662776.html""]",tender-documents
2024_BSF_832922_1,"[""1730716105.html""]",tender-documents
2024_BSF_832923_1,"[""1730716451.html""]",tender-documents
2024_BSF_832924_1,"[""1730717311.html""]",tender-documents
2024_BSF_832925_1,"[""1730715789.html""]",tender-documents
2024_BSF_838266_1,"[""bsf.html_1735193234_1241029066.html""]",tender-documents
2024_BSF_839057_1,"[""bsf.html_1735194090_1056938915.html""]",tender-documents
2024_BSF_840644_1,"[""bsf.html_1735193792_427087757.html""]",tender-documents
2024_BSF_841189_1,"[""bsf.html_1735193501_1944684065.html""]",tender-documents
2024_DMRC_823016_1,"[""1725100665.docx""]",tender-documents
2024_DMRC_839589_1,"[""DMRC.html_1735194319_1696021471.html""]",tender-documents
2024_DOLBU_974736_1,"[""municipal_corporation.pdf_1732270038_184720897.pdf""]",tender-documents
2024_DTIDC_263131_1,"[""DTIDCL.html_1735293674_1429057119.html""]",tender-documents
2024_DVVNL_972211_2,"[""DVVNL.pdf_1737010736_613577165.pdf""]",tender-documents
2024_DVVNL_973416_1,"[""1731585694.zip""]",tender-documents
2024_EB_496204_1,"[""TNEB2.html_1732261962_1750653761.html""]",tender-documents
2024_EB_496507_1,"[""TNEB4.html_1732362443_403927860.html""]",tender-documents
2024_FACT_823240_1,"[""1725341422.zip""]",tender-documents
2024_HBC_412633_1,"[""hvpnl.html_1732881798_311445690.html""]",tender-documents
2024_HPSEB_96319_1,"[""HPSEB.html_1734110986_1941656789.html""]",tender-documents
2024_HRY_419071_1,"[""PHED.html_1735301463_2017940450.html""]",tender-documents
2024_ICD_40263_1,"[""DNPL.pdf_1732272439_800249112.pdf"", ""dnpl_assam.html_1732344605_876609066.html""]",tender-documents
2024_ICD_41788_1,"[""ICD.pdf_1739357935_980727187.pdf""]",tender-documents
2024_ID_41440_1,"[""ID.html_1735300360_1483653571.html""]",tender-documents
2024_ID_41443_1,"[""ID.html_1735300672_1977134489.html""]",tender-documents
2024_ID_41444_1,"[""ID.html_1735300934_1740398277.html""]",tender-documents
2024_ID_41454_1,"[""ID.html_1735301106_1656103400.html""]",tender-documents
2024_IOL_220244_1,"[""IOL.html_1735195342_2134806518.html""]",tender-documents
2024_IPGCL_266724_1,"[""amc.pdf_1746689430_915091924.pdf""]",tender-documents
2024_IUST_266842_1,"[""IUST.html_1735214056_763486616.html""]",tender-documents
2024_JKEDA_263500_1,"[""JKEDA.html_1732273237_1930598168.html""]",tender-documents
2024_JR_180790_1,"[""1728645233.pdf""]",tender-documents
2024_MCD_215297_1,"[""MCD2.html_1732358977_452849241.html""]",tender-documents
2024_MCD_215455_1,"[""MCD.html_1732358752_626840588.html""]",tender-documents
2024_MES_690217_1,"[""mes.html_1735214416_1131030293.html""]",tender-documents
2024_MPPGC_363640_1,"[""1725858229.zip""]",tender-documents
2024_MPUVN_383987_1,"[""mpuvnl.pdf_1736772310_855866287.pdf""]",tender-documents
2024_NBCC_769858_1,"[""1725366184.zip""]",tender-documents
2024_NBCC_774594_5,"[""NBCCL.html_1735207038_48730118.html""]",tender-documents
2024_NDMC_266792_1,"[""NMDC.pdf_1735296655_206053618.pdf""]",tender-documents
2024_NHPC_821806_1,"[""nhp.html_1732511478_1903035928.html""]",tender-documents
2024_NHPC_838781_1,"[""NHPC.html_1735195042_188859836.html""]",tender-documents
2024_NMRCL_981759_1,"[""NMDC.pdf_1734148750_514332436.pdf""]",tender-documents
2024_NTPC_90205_1,"[""1731561387.html""]",tender-documents
2024_NTPC_91726_1,"[""1730875319.pdf""]",tender-documents
2024_NTPC_91783_2,"[""NTPCL.pdf_1737533761_1773318387.pdf""]",tender-documents
2024_NTPC_91796_1,"[""NTPC.pdf_1737010159_947600838.pdf""]",tender-documents
2024_NTPC_91853_1,"[""ntpc_vent_plug.html_1732261370_1707420093.html""]",tender-documents
2024_NTPC_91891_1,"[""NTPC.pdf_1737369744_380081312.pdf""]",tender-documents
2024_NTPC_93031_1,"[""NTPC.pdf_1740830628_1948170937.pdf""]",tender-documents
2024_OIDB_838963_1,"[""OIDB.pdf_1734101034_557763384.pdf""]",tender-documents
2024_ONGC_211423_2,"[""ongc2.html_1731736940_1807495591.html""]",tender-documents
2024_PDD_254231_1,"[""1725104675.docx""]",tender-documents
2024_PDD_256332_1,"[""1725343878.zip""]",tender-documents
2024_PDD_265098_1,"[""PDD.html_1732264184_2115923517.html""]",tender-documents
2024_PKVVC_382170_1,"[""mp.html_1732359588_402961297.html""]",tender-documents
2024_POWER_125553_1,"[""PSPCL.html_1731998442_442789946.html""]",tender-documents
2024_POWER_126149_2,"[""1725103193.docx""]",tender-documents
2024_PTC21_76012_1,"[""ptcul.html_1733832245_1172431680.html""]",tender-documents
2024_PTC21_76688_1,"[""1728543304.pdf""]",tender-documents
2024_PTC21_77468_1,"[""1730875720.jpeg""]",tender-documents
2024_PTC21_78460_1,"[""PTCUL2.html_1733833632_248708445.html""]",tender-documents
2024_PTC21_78962_1,"[""ptcul.html_1735285415_1790600897.html""]",tender-documents
2024_PTC21_78969_1,"[""ptcul.html_1735286168_677047908.html""]",tender-documents
2024_PVVNV_970417_1,"[""1730710844.html""]",tender-documents
2024_PWD_264312_1,"[""PWD.html_1732516289_1310851727.html""]",tender-documents
2024_RPI_715073_1,"[""RPI.html_1734439268_2028253278.html""]",tender-documents
2024_RRVPN_423808_1,"[""rrvpn2.html_1732880209_230664576.html""]",tender-documents
2024_RRVUN_429248_1,"[""rrv.html_1732951023_2066576585.html""]",tender-documents
2024_RTCIL_781157_1,"[""RAILTEL.html_1734096838_120060366.html""]",tender-documents
2024_RVUNL_968211_1,"[""1730710344.html""]",tender-documents
2024_SJVNL_775994_1,"[""SJVN.html_1732269478_132784966.html""]",tender-documents
2024_SPDC_266702_1,"[""JKSPDC.html_1733833345_334613126.html""]",tender-documents
2024_TCIL_206591_1,"[""1725426864.zip""]",tender-documents
2024_TCIL_216708_1,"[""TCIL.html_1735294219_135091366.html""]",tender-documents
2024_TRANS_131957_1,"[""PRTC.pdf_1736709376_1625416622.pdf""]",tender-documents
2024_UAD_374585_1,"[""1728539585.pdf""]",tender-documents
2024_UAD_384628_9,"[""UAD.html_1734439659_1629450077.html""]",tender-documents
2024_UCIL_218499_1,"[""ucil.pdf_1734150858_1406486891.pdf""]",tender-documents
2024_UDD_96673_1,"[""UDD.pdf_1734438522_4098212.pdf""]",tender-documents
2024_UPJVN_959309_1,"[""1727509395.pdf""]",tender-documents
2024_UPNED_968976_1,"[""UP_SOLAR.html_1732271758_994065160.html""]",tender-documents
2024_UPTCL_976560_1,"[""UPT.html_1732947021_2034673332.html""]",tender-documents
2024_UPTCL_976560_2,"[""UPPTCL.pdf_1738140485_2114143272.pdf""]",tender-documents
2024_UTDNH_7323_1,"[""UT.html_1731750353_1493159739.html""]",tender-documents
2024_WRRAJ_181598_2,"[""IOCL_RAJKOT.html_1732953851_1215537070.html""]",tender-documents
